export_version,figure,panel,panel_title,plot_order,point_index,group,metric,rho,clip_cap,clip_cap_label,x,y,value,count,style_key,label
tikz-v2,weight_clipping_frontier,A,resolution,2,28,resolution,calib_ess_fraction,3.0,5.0,c=5,0.6989700043360189,0.091398386202283,0.091398386202283,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,29,resolution,calib_ess_fraction,3.0,8.0,c=8,0.9030899869919436,0.0722179810238195,0.0722179810238195,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,30,resolution,calib_ess_fraction,3.0,13.0,c=13,1.1139433523068367,0.0563141200357016,0.0563141200357016,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,31,resolution,calib_ess_fraction,3.0,21.0,c=21,1.3222192947339193,0.0439989065064959,0.0439989065064959,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,32,resolution,calib_ess_fraction,3.0,34.0,c=34,1.5314789170422551,0.0348814176513207,0.0348814176513207,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,33,resolution,calib_ess_fraction,3.0,55.0,c=55,1.740362689494244,0.0287534942953556,0.0287534942953556,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,34,resolution,calib_ess_fraction,3.0,89.0,c=89,1.9493900066449128,0.0250490422589604,0.0250490422589604,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,A,resolution,2,35,resolution,calib_ess_fraction,3.0,inf,unclipped,2.299390006644913,0.0214749156271558,0.0214749156271558,500,ess,mean calibration ESS / n
tikz-v2,weight_clipping_frontier,B,adaptation,3,0,adaptation,oracle_tail_mismatch,0.5,1.0,c=1,0.0,0.5305388261598772,0.5305388261598772,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,1,adaptation,oracle_tail_mismatch,0.5,1.5,c=1.5,0.1760912590556812,0.4189621845500099,0.4189621845500099,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,2,adaptation,oracle_tail_mismatch,0.5,2.0,c=2,0.3010299956639812,0.3205573693840616,0.3205573693840616,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,3,adaptation,oracle_tail_mismatch,0.5,3.0,c=3,0.4771212547196624,0.1821870031193267,0.1821870031193267,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,4,adaptation,oracle_tail_mismatch,0.5,5.0,c=5,0.6989700043360189,0.0509066251594538,0.0509066251594538,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,5,adaptation,oracle_tail_mismatch,0.5,8.0,c=8,0.9030899869919436,0.0025799467279517,0.0025799467279517,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,6,adaptation,oracle_tail_mismatch,0.5,13.0,c=13,1.1139433523068367,2.455595492758664e-05,2.455595492758664e-05,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,7,adaptation,oracle_tail_mismatch,0.5,21.0,c=21,1.3222192947339193,1.0480520563802258e-07,1.0480520563802258e-07,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,weight_clipping_frontier,B,adaptation,3,8,adaptation,oracle_tail_mismatch,0.5,34.0,c=34,1.5314789170422551,1.7989367922212472e-10,1.7989367922212472e-10,500,mismatch,oracle shifted-null tail mismatch
