summary_version,scenario,diagnostic,kappa,bin,x_left,x_right,x,successes,count,probability
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.5,23,0.8823529411764706,1.0294117647058822,0.955454541221075,11372.0,71855.0,0.1582631688817758
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,4.0,23,0.8823529411764706,1.0294117647058822,0.955454541221075,12389.0,71855.0,0.17241667246538167
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,26,1.323529411764706,1.4705882352941178,1.3940314747476965,330.0,34283.0,0.009625762039494794
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,26,1.323529411764706,1.4705882352941178,1.3940314747476965,121.0,34283.0,0.0035294460811480907
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,26,1.323529411764706,1.4705882352941178,1.3940314747476965,121.0,34283.0,0.0035294460811480907
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.0,26,1.323529411764706,1.4705882352941178,1.3940314747476965,137.0,34283.0,0.003996149695184202
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.5,26,1.323529411764706,1.4705882352941178,1.3940314747476965,140.0,34283.0,0.004083656622815973
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,4.0,26,1.323529411764706,1.4705882352941178,1.3940314747476965,152.0,34283.0,0.0044336843333430565
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,inf,22,0.7352941176470589,0.8823529411764706,0.8087862664121787,20387.0,72349.0,0.2817868940828484
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.0,22,0.7352941176470589,0.8823529411764706,0.8087862664121787,4858.0,72349.0,0.06714674701792699
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.5,22,0.7352941176470589,0.8823529411764706,0.8087862664121787,8740.0,72349.0,0.12080332831137956
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.0,22,0.7352941176470589,0.8823529411764706,0.8087862664121787,11876.0,72349.0,0.16414877883592033
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.5,22,0.7352941176470589,0.8823529411764706,0.8087862664121787,14009.0,72349.0,0.19363087257598585
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,4.0,22,0.7352941176470589,0.8823529411764706,0.8087862664121787,15246.0,72349.0,0.2107285518804683
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,27,1.4705882352941178,1.6176470588235299,1.5410328326137421,160.0,26711.0,0.005990041555913294
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,27,1.4705882352941178,1.6176470588235299,1.5410328326137421,56.0,26711.0,0.002096514544569653
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,27,1.4705882352941178,1.6176470588235299,1.5410328326137421,56.0,26711.0,0.002096514544569653
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.0,27,1.4705882352941178,1.6176470588235299,1.5410328326137421,61.0,26711.0,0.0022837033431919434
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.5,27,1.4705882352941178,1.6176470588235299,1.5410328326137421,62.0,26711.0,0.0023211411029164016
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,4.0,27,1.4705882352941178,1.6176470588235299,1.5410328326137421,59.0,26711.0,0.0022088278237430274
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,21,0.5882352941176472,0.7352941176470589,0.6622028128274061,7043.0,79971.0,0.0880694251666229
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,21,0.5882352941176472,0.7352941176470589,0.6622028128274061,1782.0,79971.0,0.02228307761563567
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,21,0.5882352941176472,0.7352941176470589,0.6622028128274061,2436.0,79971.0,0.03046104212777132
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.0,21,0.5882352941176472,0.7352941176470589,0.6622028128274061,3037.0,79971.0,0.03797626639656876
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.5,21,0.5882352941176472,0.7352941176470589,0.6622028128274061,3519.0,79971.0,0.04400345125107852
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,4.0,21,0.5882352941176472,0.7352941176470589,0.6622028128274061,3782.0,79971.0,0.04729214340198322
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,20,0.4411764705882355,0.5882352941176472,0.5149840959541178,11315.0,80795.0,0.14004579491305155
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,20,0.4411764705882355,0.5882352941176472,0.5149840959541178,2687.0,80795.0,0.03325700847824742
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,20,0.4411764705882355,0.5882352941176472,0.5149840959541178,3819.0,80795.0,0.047267776471316296
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.0,20,0.4411764705882355,0.5882352941176472,0.5149840959541178,4908.0,80795.0,0.06074633331270499
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.5,20,0.4411764705882355,0.5882352941176472,0.5149840959541178,5740.0,80795.0,0.07104400024754007
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,4.0,20,0.4411764705882355,0.5882352941176472,0.5149840959541178,6181.0,80795.0,0.07650225880314376
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,inf,21,0.5882352941176472,0.7352941176470589,0.662363342225805,24492.0,72817.0,0.33635002815276654
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.0,21,0.5882352941176472,0.7352941176470589,0.662363342225805,6647.0,72817.0,0.0912836288229397
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.5,21,0.5882352941176472,0.7352941176470589,0.662363342225805,11512.0,72817.0,0.1580949503549995
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.0,21,0.5882352941176472,0.7352941176470589,0.662363342225805,15292.0,72817.0,0.21000590521444168
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.5,21,0.5882352941176472,0.7352941176470589,0.662363342225805,17713.0,72817.0,0.24325363582679868
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,4.0,21,0.5882352941176472,0.7352941176470589,0.662363342225805,19030.0,72817.0,0.2613400716865567
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,inf,19,0.2941176470588238,0.4411764705882355,0.3685501502188994,33338.0,68774.0,0.48474714281559894
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,19,0.2941176470588238,0.4411764705882355,0.3685057704543083,17601.0,78843.0,0.22324112476694188
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.0,19,0.2941176470588238,0.4411764705882355,0.3685501502188994,10980.0,68774.0,0.159653357373426
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,19,0.2941176470588238,0.4411764705882355,0.3685057704543083,3711.0,78843.0,0.04706822419238233
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,2.5,19,0.2941176470588238,0.4411764705882355,0.3685501502188994,17887.0,68774.0,0.2600837525809172
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,19,0.2941176470588238,0.4411764705882355,0.3685057704543083,5575.0,78843.0,0.07071014547898989
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.0,19,0.2941176470588238,0.4411764705882355,0.3685501502188994,22892.0,68774.0,0.33285834763137234
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.0,19,0.2941176470588238,0.4411764705882355,0.3685057704543083,7385.0,78843.0,0.09366716132059917
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,3.5,19,0.2941176470588238,0.4411764705882355,0.3685501502188994,26091.0,68774.0,0.37937301887341146
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,3.5,19,0.2941176470588238,0.4411764705882355,0.3685057704543083,8818.0,78843.0,0.11184252248138705
split-v5:weighted:wcs-homogeneous,baseline,first_threshold,4.0,19,0.2941176470588238,0.4411764705882355,0.3685501502188994,27823.0,68774.0,0.40455695466309943
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,4.0,19,0.2941176470588238,0.4411764705882355,0.3685057704543083,9748.0,78843.0,0.12363811625635757
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,inf,28,1.6176470588235299,1.7647058823529411,1.688972117630555,63.0,21336.0,0.002952755905511811
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.0,28,1.6176470588235299,1.7647058823529411,1.688972117630555,33.0,21336.0,0.001546681664791901
split-v5:weighted:wcs-homogeneous,baseline,rank_aware,2.5,28,1.6176470588235299,1.7647058823529411,1.688972117630555,31.0,21336.0,0.0014529433820772404
