export_version,figure,panel,panel_title,plot_order,group,method,scenario,kappa,m,x,y,x_left,x_right,value,probability,count,style_key,label
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,0.2213737738185241,0.49864029290673473,0.1470588235294117,0.2941176470588238,0.49864029290673473,0.49864029290673473,65823.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,-0.0728826260131099,0.6465764728129136,-0.1470588235294117,0.0,0.6465764728129136,0.6465764728129136,58171.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,-0.0728826260131099,0.33898334221519316,-0.1470588235294117,0.0,0.33898334221519316,0.33898334221519316,58171.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,-0.0728826260131099,0.48381495934400304,-0.1470588235294117,0.0,0.48381495934400304,0.48381495934400304,58171.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,-0.0728826260131099,0.5773323477334067,-0.1470588235294117,0.0,0.5773323477334067,0.5773323477334067,58171.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,-0.0728826260131099,0.6268931254405116,-0.1470588235294117,0.0,0.6268931254405116,0.6268931254405116,58171.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,-0.0728826260131099,0.6496536074676386,-0.1470588235294117,0.0,0.6496536074676386,0.6496536074676386,58171.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,-0.22008026993831237,0.6804247046508151,-0.2941176470588234,-0.1470588235294117,0.6804247046508151,0.6804247046508151,53496.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,-0.22008026993831237,0.3795610886795274,-0.2941176470588234,-0.1470588235294117,0.3795610886795274,0.3795610886795274,53496.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,-0.22008026993831237,0.5280394795872588,-0.2941176470588234,-0.1470588235294117,0.5280394795872588,0.5280394795872588,53496.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,-0.22008026993831237,0.6178966651712278,-0.2941176470588234,-0.1470588235294117,0.6178966651712278,0.6178966651712278,53496.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,-0.22008026993831237,0.6614887094362195,-0.2941176470588234,-0.1470588235294117,0.6614887094362195,0.6614887094362195,53496.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,-0.22008026993831237,0.6811724241064753,-0.2941176470588234,-0.1470588235294117,0.6811724241064753,0.6811724241064753,53496.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,-0.6600815900234657,0.7511409323046833,-0.7352941176470589,-0.588235294117647,0.7511409323046833,0.7511409323046833,36812.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,-0.6600815900234657,0.4613441269151364,-0.7352941176470589,-0.588235294117647,0.4613441269151364,0.4613441269151364,36812.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,-0.6600815900234657,0.6148266869499076,-0.7352941176470589,-0.588235294117647,0.6148266869499076,0.6148266869499076,36812.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,-0.6600815900234657,0.6988482016733674,-0.7352941176470589,-0.588235294117647,0.6988482016733674,0.6988482016733674,36812.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,-0.6600815900234657,0.7360914919048136,-0.7352941176470589,-0.588235294117647,0.7360914919048136,0.7360914919048136,36812.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,-0.6600815900234657,0.7501901553841138,-0.7352941176470589,-0.588235294117647,0.7501901553841138,0.7501901553841138,36812.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,-0.36676435882964287,0.7113266750066651,-0.44117647058823506,-0.2941176470588234,0.7113266750066651,0.7113266750066651,48761.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,-0.36676435882964287,0.41174299132503434,-0.44117647058823506,-0.2941176470588234,0.41174299132503434,0.41174299132503434,48761.0,kappa_2.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,3,first_threshold,wcs_homogeneous,baseline,2.5,,-0.36676435882964287,0.5630524394495601,-0.44117647058823506,-0.2941176470588234,0.5630524394495601,0.5630524394495601,48761.0,kappa_2.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,4,first_threshold,wcs_homogeneous,baseline,3.0,,-0.36676435882964287,0.6515658005373146,-0.44117647058823506,-0.2941176470588234,0.6515658005373146,0.6515658005373146,48761.0,kappa_3.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,5,first_threshold,wcs_homogeneous,baseline,3.5,,-0.36676435882964287,0.6925001538114477,-0.44117647058823506,-0.2941176470588234,0.6925001538114477,0.6925001538114477,48761.0,kappa_3.5,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,6,first_threshold,wcs_homogeneous,baseline,4.0,,-0.36676435882964287,0.7104858390927176,-0.44117647058823506,-0.2941176470588234,0.7104858390927176,0.7104858390927176,48761.0,kappa_4.0,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,1,first_threshold,wcs_homogeneous,baseline,inf,,-0.953218177977989,0.7726968174204355,-1.0294117647058822,-0.8823529411764706,0.7726968174204355,0.7726968174204355,23880.0,kappa_inf,$\log_{10}\delta$
tikz-v3,figure1,D,First-threshold diagnostic,2,first_threshold,wcs_homogeneous,baseline,2.0,,-0.953218177977989,0.48350083752093803,-1.0294117647058822,-0.8823529411764706,0.48350083752093803,0.48350083752093803,23880.0,kappa_2.0,$\log_{10}\delta$
