summary_version,phase_x_bin,phase_y_bin,x_left,x_right,y_bottom,y_top,x,y,alpha,pi1,m,mean_n_cal,mean_rho,count,n_anomaly,calib_ess,max_normalized_calib_weight,p_min_anom,delta_min,rank_delta,certified_no_first_discovery,certified_no_rank_discovery,log10_m_over_alpha,log10_inverse_p_min,log10_delta_min,log10_rank_delta,auroc,perfect_separation_from_calibration,anomalies_exceed_all_inliers,exact_any_discovery,exact_power,exact_fdr,randomized_any_discovery,randomized_power,randomized_fdr,oracle_any_discovery,oracle_power,oracle_fdr
perfect-score-v2,6,1,3.5,3.7083333333333335,2.4583333333333335,2.6666666666666665,3.604166666666667,2.5625,0.1,0.05,402,149.0,1.63,100,20.0,45.388183392370564,0.1783995338905034,0.0027402351506636146,11.01574530566773,6.732861815406617,1.0,1.0,3.604226053084469,2.5664961515937756,1.0377299014906942,0.7526209345680386,0.9986125654450261,True,False,0.0,0.0,0.0,0.41,0.15749999999999997,0.07624447166927985,1.0,1.0,0.09832539923844269
perfect-score-v2,6,2,3.5,3.7083333333333335,2.6666666666666665,2.875,3.604166666666667,2.770833333333333,0.1,0.05,402,240.6,1.555,100,20.0,72.76088883960982,0.14924174621900663,0.0017202294242873875,6.915322285635297,4.2062569667541805,1.0,1.0,3.604226053084469,2.7688796839214143,0.8353463691630552,0.5487629434567477,0.9994764397905759,True,False,0.01,0.01,0.012857142857142855,0.62,0.29200000000000004,0.07289705871636307,1.0,1.0,0.0981688504731983
perfect-score-v2,6,3,3.5,3.7083333333333335,2.875,3.0833333333333335,3.604166666666667,2.979166666666667,0.1,0.05,402,371.75,1.795,100,20.0,89.23372728407703,0.18073344026098798,0.0010536076691626197,4.235502830033729,2.7121547246293916,1.0,0.86,3.604226053084469,2.981416560272385,0.6228094928120842,0.3732632063902513,0.999738219895288,True,False,0.16,0.1435,0.027096325244380163,0.74,0.3355,0.13259960938701348,1.0,1.0,0.11013467048249657
perfect-score-v2,6,4,3.5,3.7083333333333335,3.0833333333333335,3.291666666666667,3.604166666666667,3.1875,0.1,0.05,402,583.59,1.635,100,20.0,182.0866648122835,0.13714470120164227,0.0006539000818434193,2.628678329010545,1.6277929406712282,1.0,0.7,3.604226053084469,3.188309684810154,0.4159163682743162,0.1333560961727848,0.9999476439790576,True,False,0.33,0.2635,0.030141721233254412,0.89,0.5105,0.10078403055741864,1.0,1.0,0.093904737774303
perfect-score-v2,6,5,3.5,3.7083333333333335,3.291666666666667,3.5,3.604166666666667,3.3958333333333335,0.1,0.05,402,980.18,1.745,100,20.0,253.51923294426015,0.12081502555287875,0.0003971784280897796,1.5966572809209134,0.9560490579674592,1.0,0.42,3.604226053084469,3.4048954271718133,0.19933062591265613,-0.09248344096134468,0.9999738219895288,True,False,0.6,0.36200000000000004,0.04657842234603912,0.99,0.5725000000000001,0.09755239556774419,1.0,1.0,0.09800516230951015
perfect-score-v2,6,6,3.5,3.7083333333333335,3.5,3.7083333333333335,3.604166666666667,3.604166666666667,0.1,0.05,402,1414.23,1.575,100,20.0,418.4789320252821,0.08402334753300261,0.00025548912732390095,1.0270662918420816,0.5963305299096282,0.59,0.14,3.604226053084469,3.5972464479388577,0.006979605145612408,-0.2959571142505863,0.9999476439790576,True,False,0.88,0.479,0.06403255507074998,1.0,0.6639999999999999,0.09145858154772543,1.0,1.0,0.09056644804470894
perfect-score-v2,6,7,3.5,3.7083333333333335,3.7083333333333335,3.916666666666667,3.604166666666667,3.8125,0.1,0.05,402,2278.74,1.605,100,20.0,694.0242051148649,0.08725902214840911,0.00016051718464155435,0.6452790822590486,0.3954025346536964,0.0,0.0,3.604226053084469,3.798568904508514,-0.1943428514240432,-0.4834094407878067,0.9999738219895288,True,False,1.0,0.5675,0.06861025050352348,1.0,0.7175000000000001,0.09468158344288037,1.0,1.0,0.08942731181861616
perfect-score-v2,6,8,3.5,3.7083333333333335,3.916666666666667,4.125,3.604166666666667,4.020833333333334,0.1,0.05,402,3666.05,1.54,100,20.0,1174.4205328487903,0.07000470067091785,9.639634382569363e-05,0.3875133021792883,0.23274528597283708,0.0,0.0,3.604226053084469,4.020503254721402,-0.41627720163693205,-0.7158197777477325,1.0,True,True,1.0,0.6515000000000001,0.057776023467889806,1.0,0.7555000000000001,0.0758645687618295,1.0,1.0,0.0857763910807389
perfect-score-v2,6,9,3.5,3.7083333333333335,4.125,4.333333333333334,3.604166666666667,4.229166666666667,0.1,0.05,402,5686.09,1.525,100,20.0,1877.6040998679514,0.05438547564293631,5.922023261507789e-05,0.2380653351126131,0.13638247536320053,0.0,0.0,3.604226053084469,4.231377651833266,-0.6271515987487957,-0.9396244688001839,0.9999476439790576,True,False,1.0,0.7454999999999999,0.08440055150985627,1.0,0.8320000000000001,0.09429565334063074,1.0,1.0,0.09397979637110072
perfect-score-v2,6,10,3.5,3.7083333333333335,4.333333333333334,4.541666666666667,3.604166666666667,4.4375,0.1,0.05,402,10227.79,1.625,100,20.0,3071.3800565609404,0.07167381979127524,3.715638158319442e-05,0.14936865396444154,0.08747263763842274,0.0,0.0,3.604226053084469,4.434039615645384,-0.8298135625609128,-1.1371382996845525,0.9999738219895288,True,False,1.0,0.7615,0.09015651270216152,1.0,0.8355000000000001,0.10142625363449159,1.0,1.0,0.0974049573614791
perfect-score-v2,6,11,3.5,3.7083333333333335,4.541666666666667,4.75,3.604166666666667,4.645833333333334,0.1,0.05,402,15727.37,1.62,100,20.0,4910.899271205073,0.05465804668913234,2.242879467786077e-05,0.09016375460500027,0.053309069830785524,0.0,0.0,3.604226053084469,4.6531856087030095,-1.0489595556185396,-1.3493364410689452,1.0,True,True,1.0,0.772,0.08638858959649105,1.0,0.8500000000000001,0.09288859108690176,1.0,1.0,0.09501873488830011
perfect-score-v2,7,0,3.7083333333333335,3.916666666666667,2.25,2.4583333333333335,3.8125,2.354166666666667,0.1,0.05,649,71.18,1.475,100,32.0,27.769182977604952,0.21564791470529207,0.00449891764806731,29.197975535956836,14.060175694248725,1.0,1.0,3.8122446968003687,2.3510968908774608,1.461147805922909,1.0561300454797897,0.9983792544570502,True,False,0.0,0.0,0.01,0.31,0.0321875,0.10112724014336917,1.0,1.0,0.09345865427976731
perfect-score-v2,7,1,3.7083333333333335,3.916666666666667,2.4583333333333335,2.6666666666666665,3.8125,2.5625,0.1,0.05,649,111.45,1.655,100,32.0,38.81144544818573,0.22779613654893915,0.002748773174489546,17.839537902437158,9.936405669183385,1.0,1.0,3.8122446968003687,2.564703369347618,1.2475413274527514,0.9026552061633047,0.9990275526742302,True,False,0.0,0.0,0.01,0.35,0.09,0.06641281907499842,1.0,1.0,0.09604755880947076
perfect-score-v2,7,2,3.7083333333333335,3.916666666666667,2.6666666666666665,2.875,3.8125,2.770833333333333,0.1,0.05,649,187.04,1.67,100,32.0,62.554262026232145,0.2020307075493296,0.001723182147589243,11.183452137854188,6.043982240230662,1.0,1.0,3.8122446968003687,2.768163223634483,1.0440814731658863,0.6796854111975936,0.9991572123176661,True,False,0.02,0.0165625,0.006193633952254643,0.63,0.2659375,0.129665993862528,1.0,1.0,0.09189250183058233
perfect-score-v2,7,3,3.7083333333333335,3.916666666666667,2.875,3.0833333333333335,3.8125,2.979166666666667,0.1,0.05,649,304.65,1.655,100,32.0,98.24639569684933,0.18103933486986826,0.001020913835481239,6.625730792273239,3.7019629968310057,1.0,0.83,3.8122446968003687,2.995206472742195,0.817038224058174,0.46412514441269986,0.99967585089141,True,False,0.18,0.1609375,0.017702690292297513,0.66,0.3471875,0.08037529314544592,1.0,1.0,0.09906882057188053
perfect-score-v2,7,4,3.7083333333333335,3.916666666666667,3.0833333333333335,3.291666666666667,3.8125,3.1875,0.1,0.05,649,435.79,1.62,100,32.0,158.75730250087784,0.16220525953495435,0.0006493876123563104,4.214525604192454,2.415862621721379,1.0,0.78,3.8122446968003687,3.191987288939718,0.6202574078606516,0.26966949263386814,0.9997082658022691,True,False,0.25,0.2253125,0.031150867883904167,0.81,0.4346875,0.11351581744080046,1.0,1.0,0.09314497139400862
