summary_version,scenario,alpha,pi1,kappa,x_bin,y_bin,x_left,x_right,y_bottom,y_top,successes,count,probability
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,1,3.0833333333333335,3.291666666666667,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,1,3.0833333333333335,3.291666666666667,2.4583333333333335,2.6666666666666665,24.0,25.0,0.96
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,2,3.0833333333333335,3.291666666666667,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,2,3.0833333333333335,3.291666666666667,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,3,3.0833333333333335,3.291666666666667,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,3,3.0833333333333335,3.291666666666667,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,4,3.0833333333333335,3.291666666666667,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,4,3.0833333333333335,3.291666666666667,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,5,3.0833333333333335,3.291666666666667,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,5,3.0833333333333335,3.291666666666667,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,6,3.0833333333333335,3.291666666666667,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,6,3.0833333333333335,3.291666666666667,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,7,3.0833333333333335,3.291666666666667,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,7,3.0833333333333335,3.291666666666667,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,8,3.0833333333333335,3.291666666666667,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,8,3.0833333333333335,3.291666666666667,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,9,3.0833333333333335,3.291666666666667,4.125,4.333333333333334,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,9,3.0833333333333335,3.291666666666667,4.125,4.333333333333334,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,10,3.0833333333333335,3.291666666666667,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,10,3.0833333333333335,3.291666666666667,4.333333333333334,4.541666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,4,11,3.0833333333333335,3.291666666666667,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,4,11,3.0833333333333335,3.291666666666667,4.541666666666667,4.75,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,0,3.291666666666667,3.5,2.25,2.4583333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,0,3.291666666666667,3.5,2.25,2.4583333333333335,20.0,25.0,0.8
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,1,3.291666666666667,3.5,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,1,3.291666666666667,3.5,2.4583333333333335,2.6666666666666665,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,2,3.291666666666667,3.5,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,2,3.291666666666667,3.5,2.6666666666666665,2.875,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,3,3.291666666666667,3.5,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,3,3.291666666666667,3.5,2.875,3.0833333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,4,3.291666666666667,3.5,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,4,3.291666666666667,3.5,3.0833333333333335,3.291666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,5,3.291666666666667,3.5,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,5,3.291666666666667,3.5,3.291666666666667,3.5,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,6,3.291666666666667,3.5,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,6,3.291666666666667,3.5,3.5,3.7083333333333335,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,7,3.291666666666667,3.5,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,7,3.291666666666667,3.5,3.7083333333333335,3.916666666666667,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,8,3.291666666666667,3.5,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,8,3.291666666666667,3.5,3.916666666666667,4.125,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,inf,5,9,3.291666666666667,3.5,4.125,4.333333333333334,25.0,25.0,1.0
split-v5:unweighted:bh,baseline,0.1,0.1,3.0,5,9,3.291666666666667,3.5,4.125,4.333333333333334,25.0,25.0,1.0
