summary_version,collection,sweep,score_regime,x_index,x_value,x_plot,x_left,x_right,log10_neff_bin,log10_neff_left,log10_neff_right,log10_neff_center,alpha,m,target_pi1,n_anomaly_fixed,count,mean_n_cal,mean_rho,mean_neff,log10_mean_neff,mean_n_anomaly,actual_pi1,discovery_probability,power,fdr,mean_log10_rank_delta,median_log10_rank_delta,rank_delta_above_one_rate,mean_auroc,perfect_separation_rate
operational-envelope-v4,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,10,3.3,3.5,3.4,0.1,50,0.05,,100,4232.65,0.485,2556.5395669009595,3.407652518577822,2.0,0.039999999999999994,1.0,1.0,0.05933333333333333,-1.0612305821107244,-1.0022524799205383,0.0,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,10,3.3,3.5,3.4,0.1,50,0.05,,100,4232.65,0.485,2556.5395669009595,3.407652518577822,2.0,0.039999999999999994,0.05,0.025,0.04,-1.0612305821107244,-1.0022524799205383,0.0,0.7822916666666664,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,10,3.3,3.5,3.4,0.1,50,0.05,,100,4232.65,0.485,2556.5395669009595,3.407652518577822,2.0,0.039999999999999994,0.32,0.185,0.04333333333333333,-1.0612305821107244,-1.0022524799205383,0.0,0.9334374999999998,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,10,3.3,3.5,3.4,0.1,50,0.05,,100,4232.65,0.485,2556.5395669009595,3.407652518577822,2.0,0.039999999999999994,0.8,0.6,0.049333333333333326,-1.0612305821107244,-1.0022524799205383,0.0,0.9870833333333334,0.1
operational-envelope-v4,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,11,3.5,3.7,3.6,0.1,50,0.05,,100,6876.29,0.505,4061.4388250281713,3.6086799161071643,2.0,0.039999999999999994,1.0,1.0,0.07999999999999999,-1.239372466232985,-1.2021612470193532,0.0,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,11,3.5,3.7,3.6,0.1,50,0.05,,100,6876.29,0.505,4061.4388250281713,3.6086799161071643,2.0,0.039999999999999994,0.06,0.04,0.05166666666666666,-1.239372466232985,-1.2021612470193532,0.0,0.7690625,0.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k2,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,11,3.5,3.7,3.6,0.1,50,0.05,,100,6876.29,0.505,4061.4388250281713,3.6086799161071643,2.0,0.039999999999999994,0.27,0.155,0.04666666666666666,-1.239372466232985,-1.2021612470193532,0.0,0.9283333333333332,0.01
operational-envelope-v4,atlas,m_fixed_pi,finite_k3,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,11,3.5,3.7,3.6,0.1,50,0.05,,100,6876.29,0.505,4061.4388250281713,3.6086799161071643,2.0,0.039999999999999994,0.85,0.665,0.07,-1.239372466232985,-1.2021612470193532,0.0,0.9865625,0.05
operational-envelope-v4,atlas,m_fixed_pi,perfect,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,12,3.7,3.8999999999999995,3.8,0.1,50,0.05,,100,8434.63,0.35,6312.3812542601,3.8001932214467735,2.0,0.039999999999999994,1.0,1.0,0.06766666666666665,-1.4331620597284198,-1.402158171502738,0.0,1.0,1.0
operational-envelope-v4,atlas,m_fixed_pi,finite_k1,0,50.0,1.6989700043360187,1.5484550065040281,1.8494850021680094,12,3.7,3.8999999999999995,3.8,0.1,50,0.05,,100,8434.63,0.35,6312.3812542601,3.8001932214467735,2.0,0.039999999999999994,0.04,0.02,0.07666666666666666,-1.4331620597284198,-1.402158171502738,0.0,0.7765625000000002,0.0
