summary_version,base_seed,weighted_simulator_version,target_log10_neff,neff_band_lower,neff_band_upper,neff_half_width,rho,alpha,m,pi1,requested_trials,attempt_index,accepted_index,n_cal,calib_ess,log10_neff,n_anomaly,actual_pi1,rank_delta,log10_rank_delta,rank_delta_above_one,perfect_any_discovery,perfect_power,perfect_fdr,perfect_auroc,perfect_perfect_separation_rate,finite_k3_any_discovery,finite_k3_power,finite_k3_fdr,finite_k3_auroc,finite_k3_perfect_separation_rate,attempts_for_cell
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,74,37,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9753263157894736,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,75,38,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9776,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,79,39,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9913263157894738,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,80,40,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9770947368421052,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,81,41,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9898947368421053,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,85,42,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9630315789473685,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,86,43,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9638736842105263,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,87,44,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9786105263157896,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,91,45,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9921684210526316,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,92,46,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9934315789473683,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,93,47,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,True,1.0,0.358974358974359,1.0,1.0,True,0.92,0.3783783783783784,0.9775157894736841,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,97,48,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9898105263157894,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,98,49,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9786105263157894,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,99,50,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9923368421052631,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,103,51,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9845894736842107,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,104,52,126,126.0,2.100370545117563,25,0.05,1.574803149606299,0.19722627470802429,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9915789473684211,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,105,53,145,145.0,2.161368002234975,25,0.05,1.36986301369863,0.13667713987954408,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9937684210526316,0.0,200
operational-sufficiency-v2,20260715,operational-envelope-v4,2.1,2.02,2.18,0.08,0.0,0.1,500,0.05,100,109,54,107,107.0,2.0293837776852097,25,0.05,1.8518518518518516,0.26760624017703144,True,False,0.0,0.0,1.0,1.0,False,0.0,0.0,0.9857684210526315,0.0,200
