summary_version,aggregation_unit,method,source_summary_version,score_regime,bin_index,diagnostic_left,diagnostic_right,diagnostic_center,cell_count,diagnostic_mean,power_mean,power_median,power_q25,power_q75
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,1,-2.1785714285714284,-1.8571428571428572,-2.017857142857143,5,-2.0119042275181593,0.80332,0.8142500000000001,0.806,0.8143500000000001
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,2,-1.8571428571428572,-1.5357142857142856,-1.6964285714285714,20,-1.6499884761775334,0.6868174999999999,0.69705,0.6138250000000001,0.7309749999999999
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,3,-1.5357142857142856,-1.2142857142857142,-1.375,26,-1.359928364236651,0.6488692307692309,0.6182,0.6032,0.70365
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,4,-1.2142857142857142,-0.8928571428571428,-1.0535714285714284,33,-1.0276348419358394,0.5859181818181818,0.5886,0.5516000000000001,0.6874999999999999
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,5,-0.8928571428571428,-0.5714285714285712,-0.732142857142857,35,-0.7218446433157011,0.4863428571428571,0.5134000000000001,0.3687499999999999,0.59625
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,6,-0.5714285714285712,-0.25,-0.4107142857142856,40,-0.3984607935420004,0.33063125,0.3192,0.20174999999999998,0.47592500000000004
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,7,-0.25,0.07142857142857162,-0.08928571428571419,32,-0.08814572889178635,0.17793593749999997,0.1587,0.08449999999999999,0.2515
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,8,0.07142857142857162,0.39285714285714324,0.23214285714285743,40,0.22059743046230365,0.05329374999999999,0.0412,0.0269,0.07535
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,9,0.39285714285714324,0.7142857142857144,0.5535714285714288,35,0.5637832130663092,0.01931999999999999,0.0176,0.0114,0.023
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,10,0.7142857142857144,1.035714285714286,0.8750000000000002,26,0.8700679866681905,0.009611538461538453,0.006200000000000001,0.0029249999999999996,0.012949999999999925
operational-sufficiency-v2,equal_atlas_cells,weighted,operational-envelope-v4,finite_k3,11,1.035714285714286,1.3571428571428577,1.1964285714285718,15,1.2065368410510282,0.002673333333333333,0.0015,0.0002,0.0049
