summary_version,score_regime,target_log10_neff,rho,alpha,m,pi1,neff_half_width,accepted_trials,attempts_for_cell,acceptance_rate,n_cal_min,n_cal_mean,n_cal_max,log10_neff_min,log10_neff_q25,log10_neff_mean,log10_neff_median,log10_neff_q75,log10_neff_max,discovery_probability,power_mean,power_standard_error,power_ci95_low,power_ci95_high,fdr_mean,auroc_mean,mean_log10_rank_delta,median_log10_rank_delta,rank_delta_above_one_rate,perfect_separation_rate
operational-sufficiency-v2,perfect,2.4,0.5,0.1,500,0.05,0.08,100,220,0.45454545454545453,274,326.08,371,2.3201595452815136,2.3476970006025786,2.40301539794007,2.402607778911489,2.4571825557724436,2.4792798054033014,0.84,0.6911999999999999,0.0318231476644396,0.6288266305776983,0.7535733694223016,0.06768314025201647,1.0,0.059793790434307284,0.04802813315895,0.78,1.0
operational-sufficiency-v2,perfect,2.7,0.5,0.1,500,0.05,0.08,100,202,0.49504950495049505,547,645.6,740,2.6201969226713664,2.6335023045059707,2.698517512296965,2.7002113047063707,2.758531241014277,2.772290967713136,0.99,0.9756,0.010231976022906491,0.9555453269951033,0.9956546730048967,0.08550405234369189,1.0,-0.2221974313496165,-0.2270033467244166,0.0,1.0
operational-sufficiency-v2,perfect,3.0,0.5,0.1,500,0.05,0.08,100,201,0.4975124378109453,1091,1284.0,1477,2.921565919190656,2.934558620186502,2.9967948068186967,2.999510027648051,3.0550093245253005,3.0703300733764385,0.99,0.99,0.009999999999999998,0.9704,1.0,0.08442595540968728,1.0,-0.5217536162668232,-0.5315062690825183,0.0,1.0
operational-sufficiency-v2,perfect,2.1,1.0,0.1,500,0.05,0.08,100,286,0.34965034965034963,240,332.74,548,2.021589069228681,2.0704404451535527,2.1096645537882566,2.115253026802229,2.152199207110456,2.1795838884728447,0.52,0.3004,0.03082958044318849,0.23997402233135057,0.36082597766864943,0.060478829386539014,1.0,0.1755746254867307,0.1686705958805722,0.92,1.0
operational-sufficiency-v2,perfect,2.4,1.0,0.1,500,0.05,0.08,100,267,0.37453183520599254,478,671.45,922,2.320702929213319,2.3618260898606356,2.398942040455185,2.4003780686970844,2.4349798420754944,2.4776444564009457,0.8,0.6255999999999999,0.032593089680935355,0.5617175442253667,0.6894824557746332,0.06188312416001179,1.0,-0.11960252307045384,-0.13181159753942284,0.23,1.0
operational-sufficiency-v2,perfect,2.7,1.0,0.1,500,0.05,0.08,100,237,0.4219409282700422,954,1382.08,2180,2.6229875779318497,2.664275872856519,2.700038945957188,2.7013440153343784,2.7299880765057685,2.7754292252364663,0.94,0.8844,0.022910594787900064,0.8394952342157158,0.9293047657842841,0.08931451447892283,1.0,-0.4469183229027398,-0.45357951555493137,0.0,1.0
operational-sufficiency-v2,perfect,3.0,1.0,0.1,500,0.05,0.08,100,237,0.4219409282700422,2311,2740.06,3670,2.921136777224337,2.9623069029847917,3.0040181938005492,3.0065469765902755,3.0380691357476843,3.0794602931009467,0.98,0.9651999999999998,0.014037813291969731,0.9376858859477392,0.9927141140522605,0.08759699998440997,1.0,-0.7515291983118421,-0.7302234239781168,0.0,1.0
operational-sufficiency-v2,perfect,2.1,1.5,0.1,500,0.05,0.08,100,448,0.22321428571428573,836,1109.42,1911,2.020627749169749,2.0686391695313024,2.1113606759484362,2.121745211621591,2.1496324692078073,2.1799644618623155,0.76,0.5271999999999999,0.03136429160492531,0.4657259884543463,0.5886740115456535,0.08872142612725656,1.0,-0.3715156962859615,-0.35015703951753424,0.02,1.0
operational-sufficiency-v2,perfect,2.4,1.5,0.1,500,0.05,0.08,100,356,0.2808988764044944,1668,2198.45,3813,2.3230352461821737,2.3678264220598804,2.405890400109079,2.4018577104500434,2.4478597338855064,2.4794405851114507,0.77,0.6288,0.03534570395223142,0.5595224202536264,0.6980775797463736,0.06887877247750378,1.0,-0.6103680747284898,-0.598572568191146,0.0,1.0
operational-sufficiency-v2,perfect,2.7,1.5,0.1,500,0.05,0.08,100,349,0.28653295128939826,3329,4379.54,7608,2.622904555547957,2.6631542069829544,2.7054309640674514,2.7094461968699495,2.750067726390519,2.779828126883891,0.87,0.7948,0.031303815883832575,0.7334445208676881,0.8561554791323118,0.08383115625055071,1.0,-0.9178096419968205,-0.8995471935868877,0.0,1.0
operational-sufficiency-v2,perfect,3.0,1.5,0.1,500,0.05,0.08,100,284,0.352112676056338,6641,9084.61,15180,2.9235446925353537,2.97761329192336,3.009017938286898,3.0140296752880547,3.0479957875176753,3.078042799019668,0.97,0.9400000000000002,0.017079729849068796,0.9065237294958253,0.9734762705041751,0.08892206075458053,1.0,-1.2914121925008226,-1.2446323928371084,0.0,1.0
