export_version,figure,panel,panel_title,plot_order,group,method,score_regime,sweep,x,y,x_left,x_right,y_bottom,y_top,x_value,x_label,alpha,m,target_pi1,n_anomaly_fixed,value,power,discovery_probability,fdr,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,count,style_key,label
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,3.2000000000000006,-1.1505149978319906,-0.8494850021680094,3.1000000000000005,3.3000000000000007,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0006,0.0006,0.02,0.025,-0.8533939774506658,0.0,0.762434105263158,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,3.400000000000001,-1.1505149978319906,-0.8494850021680094,3.3000000000000007,3.500000000000001,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0006,0.0006,0.03,0.0,-1.0547462803261891,0.0,0.7604107368421054,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-1.0,3.6000000000000005,-1.1505149978319906,-0.8494850021680094,3.500000000000001,3.7,0.1,nominal FDR $\alpha$,0.1,1000,0.05,,0.0002,0.0002,0.01,0.016666666666666666,-1.1442627737619906,0.0,0.7619305263157895,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-0.6989700043360187,1.4,-0.8494850021680094,-0.5484550065040281,1.3,1.5,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,0.007000000000000001,0.007000000000000001,0.02,0.01674975562072336,0.619788758288394,0.93,0.7638772631578946,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-0.6989700043360187,1.6,-0.8494850021680094,-0.5484550065040281,1.5,1.7000000000000002,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,0.0008,0.0008,0.02,0.014805194805194804,0.431798275933005,0.93,0.7599202105263159,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-0.6989700043360187,1.8000000000000003,-0.8494850021680094,-0.5484550065040281,1.7000000000000002,1.9000000000000001,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,0.001,0.001,0.03,0.028333333333333332,0.22530980213635268,0.8,0.763509894736842,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-0.6989700043360187,2.0,-0.8494850021680094,-0.5484550065040281,1.9000000000000001,2.1,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,0.0018,0.0018,0.01,0.008199999999999999,-0.0005805673431173357,0.5,0.7563880000000001,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-0.6989700043360187,2.2,-0.8494850021680094,-0.5484550065040281,2.1,2.3000000000000003,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,0.007000000000000001,0.007000000000000001,0.06,0.021424655388471176,-0.16548569073164282,0.14,0.7574652631578946,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-0.6989700043360187,2.4000000000000004,-0.8494850021680094,-0.5484550065040281,2.3000000000000003,2.5,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,0.0044,0.0044,0.07,0.025055555555555557,-0.38303509237433053,0.0,0.7586972631578947,100,finite_k1_alpha_sweep,statistical power
tikz-v1,figure5,power_atlas_r2_c4,$N_{eff}$ by FDR level,8,heatmap_cell,weighted_wcs_homogeneous,finite_k1,alpha_sweep,-0.6989700043360187,2.6,-0.8494850021680094,-0.5484550065040281,2.5,2.7,0.2,nominal FDR $\alpha$,0.2,1000,0.05,,0.0012,0.0012,0.02,0.0375,-0.56143974546336,0.0,0.7594202105263159,100,finite_k1_alpha_sweep,statistical power
