export_version,figure,panel,panel_title,plot_order,group,method,dataset,severity,x,y,x_left,x_right,y_bottom,y_top,value,power,fdr,approx_log10_rank_delta,certified_proxy_rate,count,style_key,label
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wdbc,1.0,2.8264336829313237,1.2552220228799846,,,,,0.0,0.0,0.08,1.0781924092701392,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wdbc,1.0,2.8264336829313237,1.2552220228799846,,,,,0.0,0.0,0.0,1.0781924092701392,1.0,25,severity_1,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,breastw,4.0,3.117194047135882,1.4254373689589017,,,,,0.022879999999999998,0.022879999999999998,0.04,0.8787930971854178,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,breastw,4.0,3.117194047135882,1.4254373689589017,,,,,0.0,0.0,0.0,0.8787930971854178,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,cardio,4.0,3.5078957819572274,2.0670396919712157,,,,,0.00996,0.00996,0.08,0.23575094117630846,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,cardio,4.0,3.5078957819572274,2.0670396919712157,,,,,0.0,0.0,0.0,0.23575094117630846,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,ionosphere,4.0,2.8096235141056907,0.9327838332573195,,,,,0.023319999999999997,0.023319999999999997,0.06,1.3847257777357127,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,ionosphere,4.0,2.8096235141056907,0.9327838332573195,,,,,0.0,0.0,0.0,1.3847257777357127,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,mammography,4.0,4.305694660163577,3.0674491727871414,,,,,0.0012,0.0012,0.06,-0.765709392535354,0.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,mammography,4.0,4.305694660163577,3.0674491727871414,,,,,0.0,0.0,0.0,-0.765709392535354,0.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,musk,4.0,3.7429214841322676,2.3243333956278995,,,,,0.11203999999999999,0.11203999999999999,0.11388,-0.022861834626828142,0.32,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,musk,4.0,3.7429214841322676,2.3243333956278995,,,,,0.04,0.04,0.008239999999999999,-0.022861834626828142,0.32,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,satellite,4.0,4.0617517135120496,2.650642741565926,,,,,0.008320000000000001,0.008320000000000001,0.05668,-0.34988153194101407,0.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,satellite,4.0,4.0617517135120496,2.650642741565926,,,,,0.0,0.0,0.0,-0.34988153194101407,0.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,vowels,4.0,3.420031943280537,1.9289878665768032,,,,,0.0,0.0,0.0,0.371951175057473,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,vowels,4.0,3.420031943280537,1.9289878665768032,,,,,0.0,0.0,0.0,0.371951175057473,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wbc,4.0,2.605494524169044,1.3353500568303165,,,,,0.02,0.02,0.0,0.9691144716747465,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wbc,4.0,2.605494524169044,1.3353500568303165,,,,,0.0,0.0,0.0,0.9691144716747465,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wdbc,4.0,2.823450434020314,1.2260455570997162,,,,,0.0,0.0,0.04,1.1093831756037302,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wdbc,4.0,2.823450434020314,1.2260455570997162,,,,,0.0,0.0,0.0,1.1093831756037302,1.0,25,severity_4,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,breastw,16.0,3.116673946880965,1.433063111364418,,,,,0.0,0.0,0.0,0.8733251261102091,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,breastw,16.0,3.116673946880965,1.433063111364418,,,,,0.0,0.0,0.0,0.8733251261102091,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,cardio,16.0,3.507303044792014,2.0484074117267217,,,,,0.0074399999999999996,0.0074399999999999996,0.04,0.2527373267066948,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,cardio,16.0,3.507303044792014,2.0484074117267217,,,,,0.0,0.0,0.0,0.2527373267066948,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,ionosphere,16.0,2.809479293328593,0.9445466586916842,,,,,0.023319999999999997,0.023319999999999997,0.06,1.3728187315242502,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,ionosphere,16.0,2.809479293328593,0.9445466586916842,,,,,0.0,0.0,0.0,1.3728187315242502,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,mammography,16.0,4.305866842993442,3.0683610359807925,,,,,0.005560000000000001,0.005560000000000001,0.08332,-0.7666255767547496,0.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,mammography,16.0,4.305866842993442,3.0683610359807925,,,,,0.0,0.0,0.0,-0.7666255767547496,0.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,musk,16.0,3.744078328160484,2.322630424489392,,,,,0.09496,0.09496,0.047720000000000005,-0.0218751594970318,0.4,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,musk,16.0,3.744078328160484,2.322630424489392,,,,,0.0,0.0,0.0,-0.0218751594970318,0.4,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,satellite,16.0,4.06256490037676,2.6588379499825403,,,,,0.0,0.0,0.0,-0.35815960045487233,0.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,satellite,16.0,4.06256490037676,2.6588379499825403,,,,,0.0,0.0,0.0,-0.35815960045487233,0.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,vowels,16.0,3.419753001338584,1.9221147036610102,,,,,0.00616,0.00616,0.04,0.37993588028168096,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,vowels,16.0,3.419753001338584,1.9221147036610102,,,,,0.0,0.0,0.0,0.37993588028168096,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wbc,16.0,2.607245375579397,1.341077769401288,,,,,0.02,0.02,0.04,0.965137610514128,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wbc,16.0,2.607245375579397,1.341077769401288,,,,,0.0,0.0,0.0,0.965137610514128,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_randomized_weighted,wdbc,16.0,2.822388797618598,1.246094627214788,,,,,0.04332,0.04332,0.11332,1.0882724690869419,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,1,empirical_point,empirical_weighted,wdbc,16.0,2.822388797618598,1.246094627214788,,,,,0.0,0.0,0.0,1.0882724690869419,1.0,25,severity_16,mean empirical power
tikz-v1,figure5,empirical_projection,Empirical projection,101,resolution_boundary,,,,0.5954755322837073,0.5954755322837073,,,,,,,,,,,diagonal_y_equals_x,$1/p_{\min}^{proxy}=m/\alpha$
tikz-v1,figure5,empirical_projection,Empirical projection,102,resolution_boundary,,,,4.6431751439670546,4.6431751439670546,,,,,,,,,,,diagonal_y_equals_x,$1/p_{\min}^{proxy}=m/\alpha$
