summary_version,collection,sweep,score_regime,x_index,x_value,x_plot,x_left,x_right,log10_neff_bin,log10_neff_left,log10_neff_right,log10_neff_center,alpha,m,target_pi1,n_anomaly_fixed,count,mean_n_cal,mean_rho,mean_neff,log10_mean_neff,mean_n_anomaly,actual_pi1,discovery_probability,power,fdr,mean_log10_rank_delta,median_log10_rank_delta,certified_no_rank_rate,mean_auroc,perfect_separation_rate
operational-envelope-v1,atlas,m_fixed_pi,finite,2,200.0,2.3010299956639813,2.1505149978319906,2.5,2,1.7000000000000002,1.9000000000000001,1.8000000000000003,0.1,200,0.05,,100,289.49,0.64,64.9432378877248,1.8125339375347749,10.0,0.04999999999999999,0.1,0.025,0.015,0.39765998443476497,0.494850021680094,0.88,0.9842947368421052,0.05
operational-envelope-v1,atlas,m_fixed_pi,perfect,2,200.0,2.3010299956639813,2.1505149978319906,2.5,3,1.9000000000000001,2.1,2.0,0.1,200,0.05,,100,467.81,0.715,102.36524384577464,2.0101525253096337,10.0,0.04999999999999999,0.3,0.168,0.0441511544011544,0.18136532199643102,0.2957029707504909,0.82,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,2,200.0,2.3010299956639813,2.1505149978319906,2.5,3,1.9000000000000001,2.1,2.0,0.1,200,0.05,,100,467.81,0.715,102.36524384577464,2.0101525253096337,10.0,0.04999999999999999,0.16,0.04,0.02238095238095238,0.18136532199643102,0.2957029707504909,0.82,0.9827894736842108,0.01
operational-envelope-v1,atlas,m_fixed_pi,perfect,2,200.0,2.3010299956639813,2.1505149978319906,2.5,4,2.1,2.3000000000000003,2.2,0.1,200,0.05,,100,767.22,0.685,164.27661365450024,2.2155757418665294,10.0,0.04999999999999999,0.55,0.37999999999999995,0.05823932573274679,-0.040716086481390946,0.09963287134352969,0.75,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,2,200.0,2.3010299956639813,2.1505149978319906,2.5,4,2.1,2.3000000000000003,2.2,0.1,200,0.05,,100,767.22,0.685,164.27661365450024,2.2155757418665294,10.0,0.04999999999999999,0.23,0.10099999999999999,0.03765584415584415,-0.040716086481390946,0.09963287134352969,0.75,0.9808684210526318,0.02
operational-envelope-v1,atlas,m_fixed_pi,perfect,2,200.0,2.3010299956639813,2.1505149978319906,2.5,5,2.3000000000000003,2.5,2.4000000000000004,0.1,200,0.05,,100,743.68,0.655,253.5048579437492,2.4039862861859174,10.0,0.04999999999999999,0.85,0.738,0.06910808197650303,-0.17596842967390347,-0.10037054511756292,0.22,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,2,200.0,2.3010299956639813,2.1505149978319906,2.5,5,2.3000000000000003,2.5,2.4000000000000004,0.1,200,0.05,,100,743.68,0.655,253.5048579437492,2.4039862861859174,10.0,0.04999999999999999,0.44,0.21499999999999997,0.06697330447330448,-0.17596842967390347,-0.10037054511756292,0.22,0.9826263157894737,0.02
operational-envelope-v1,atlas,m_fixed_pi,perfect,2,200.0,2.3010299956639813,2.1505149978319906,2.5,6,2.5,2.7,2.6,0.1,200,0.05,,100,1151.28,0.635,400.1773384117117,2.6022524913931346,10.0,0.04999999999999999,0.96,0.916,0.09334393874099757,-0.41493198101362194,-0.2999429000227671,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,2,200.0,2.3010299956639813,2.1505149978319906,2.5,6,2.5,2.7,2.6,0.1,200,0.05,,100,1151.28,0.635,400.1773384117117,2.6022524913931346,10.0,0.04999999999999999,0.65,0.393,0.08020815295815296,-0.41493198101362194,-0.2999429000227671,0.0,0.9858894736842106,0.0
operational-envelope-v1,atlas,m_fixed_pi,perfect,2,200.0,2.3010299956639813,2.1505149978319906,2.5,7,2.7,2.9000000000000004,2.8000000000000003,0.1,200,0.05,,100,1893.56,0.685,649.1821184068879,2.812366548763298,10.0,0.04999999999999999,0.99,0.9690000000000001,0.08391801335918984,-0.6115232946945792,-0.5091568024760296,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,2,200.0,2.3010299956639813,2.1505149978319906,2.5,7,2.7,2.9000000000000004,2.8000000000000003,0.1,200,0.05,,100,1893.56,0.685,649.1821184068879,2.812366548763298,10.0,0.04999999999999999,0.8,0.44699999999999995,0.07623017342134988,-0.6115232946945792,-0.5091568024760296,0.0,0.9839631578947368,0.0
operational-envelope-v1,atlas,m_fixed_pi,perfect,2,200.0,2.3010299956639813,2.1505149978319906,2.5,8,2.9000000000000004,3.1000000000000005,3.0000000000000004,0.1,200,0.05,,100,1956.95,0.555,1017.1156236009041,3.0073703254277504,10.0,0.04999999999999999,1.0,0.995,0.09435331335331336,-0.7263172334547313,-0.6994040818153374,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,2,200.0,2.3010299956639813,2.1505149978319906,2.5,8,2.9000000000000004,3.1000000000000005,3.0000000000000004,0.1,200,0.05,,100,1956.95,0.555,1017.1156236009041,3.0073703254277504,10.0,0.04999999999999999,0.94,0.579,0.08817612942612942,-0.7263172334547313,-0.6994040818153374,0.0,0.9873526315789475,0.0
operational-envelope-v1,atlas,m_fixed_pi,perfect,2,200.0,2.3010299956639813,2.1505149978319906,2.5,9,3.1000000000000005,3.3000000000000007,3.2000000000000006,0.1,200,0.05,,100,2712.84,0.495,1619.9563000947958,3.20950329918234,10.0,0.04999999999999999,1.0,1.0,0.08576756576756578,-0.929593024199358,-0.8992731873176038,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,2,200.0,2.3010299956639813,2.1505149978319906,2.5,9,3.1000000000000005,3.3000000000000007,3.2000000000000006,0.1,200,0.05,,100,2712.84,0.495,1619.9563000947958,3.20950329918234,10.0,0.04999999999999999,0.93,0.55,0.09438816738816738,-0.929593024199358,-0.8992731873176038,0.0,0.9790105263157894,0.0
operational-envelope-v1,atlas,m_fixed_pi,perfect,2,200.0,2.3010299956639813,2.1505149978319906,2.5,10,3.3000000000000007,3.500000000000001,3.400000000000001,0.1,200,0.05,,100,4184.85,0.485,2557.740931045655,3.407856553467423,10.0,0.04999999999999999,1.0,1.0,0.08885166304283952,-1.0923244776268992,-1.0535396874117047,0.0,1.0,1.0
operational-envelope-v1,atlas,m_fixed_pi,finite,2,200.0,2.3010299956639813,2.1505149978319906,2.5,10,3.3000000000000007,3.500000000000001,3.400000000000001,0.1,200,0.05,,100,4184.85,0.485,2557.740931045655,3.407856553467423,10.0,0.04999999999999999,0.98,0.582,0.08839979464979467,-1.0923244776268992,-1.0535396874117047,0.0,0.9803842105263157,0.0
operational-envelope-v1,atlas,m_fixed_pi,perfect,2,200.0,2.3010299956639813,2.1505149978319906,2.5,11,3.500000000000001,3.7,3.6000000000000005,0.1,200,0.05,,100,4612.01,0.33,3618.244630352233,3.5584979262663294,10.0,0.04999999999999999,1.0,1.0,0.09171338465456114,-1.1870333632875836,-1.1825665006979191,0.0,1.0,1.0
