summary_version,world_id,rho,world_seed,discoveries,theorem_probability,observed_probability,observed_count,n_randomizations
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,8,0.008959970235502454,0.0088,176,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,9,0.0038443477272130963,0.0033,66,20000
randomized-instability-frontier-v2,rho_0000_seed_007,0.0,7,10,0.000996270472039504,0.00065,13,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,0,0.49900000000000166,0.49555,9911,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,1,0.1657148289466804,0.16695,3339,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,2,0.10766397850894104,0.11,2200,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,3,0.07651603249923576,0.07725,1545,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,4,0.05524266688931819,0.05615,1123,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,5,0.039140492511542176,0.03765,753,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,6,0.02645029875778349,0.02535,507,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,7,0.016471113451742434,0.01735,347,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,8,0.008959970235502454,0.0087,174,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,9,0.0038443477272130963,0.00435,87,20000
randomized-instability-frontier-v2,rho_0000_seed_008,0.0,8,10,0.000996270472039504,0.0007,14,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,0,0.49900000000000166,0.4933,9866,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,1,0.1657148289466804,0.1667,3334,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,2,0.10766397850894104,0.1086,2172,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,3,0.07651603249923576,0.0782,1564,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,4,0.05524266688931819,0.05785,1157,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,5,0.039140492511542176,0.04105,821,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,6,0.02645029875778349,0.0267,534,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,7,0.016471113451742434,0.0151,302,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,8,0.008959970235502454,0.0079,158,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,9,0.0038443477272130963,0.00395,79,20000
randomized-instability-frontier-v2,rho_0000_seed_009,0.0,9,10,0.000996270472039504,0.00065,13,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,0,0.49900000000000166,0.4944,9888,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,1,0.1657148289466804,0.16595,3319,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,2,0.10766397850894104,0.10745,2149,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,3,0.07651603249923576,0.07965,1593,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,4,0.05524266688931819,0.057,1140,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,5,0.039140492511542176,0.03905,781,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,6,0.02645029875778349,0.02725,545,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,7,0.016471113451742434,0.01575,315,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,8,0.008959970235502454,0.0093,186,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,9,0.0038443477272130963,0.00355,71,20000
randomized-instability-frontier-v2,rho_0000_seed_010,0.0,10,10,0.000996270472039504,0.00065,13,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,0,0.49900000000000166,0.4962,9924,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,1,0.1657148289466804,0.16425,3285,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,2,0.10766397850894104,0.1087,2174,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,3,0.07651603249923576,0.07825,1565,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,4,0.05524266688931819,0.0565,1130,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,5,0.039140492511542176,0.0394,788,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,6,0.02645029875778349,0.0259,518,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,7,0.016471113451742434,0.01655,331,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,8,0.008959970235502454,0.0097,194,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,9,0.0038443477272130963,0.00375,75,20000
randomized-instability-frontier-v2,rho_0000_seed_011,0.0,11,10,0.000996270472039504,0.0008,16,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,0,0.49900000000000166,0.4984,9968,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,1,0.1657148289466804,0.16215,3243,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,2,0.10766397850894104,0.11,2200,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,3,0.07651603249923576,0.0777,1554,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,4,0.05524266688931819,0.0541,1082,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,5,0.039140492511542176,0.0401,802,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,6,0.02645029875778349,0.0255,510,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,7,0.016471113451742434,0.0177,354,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,8,0.008959970235502454,0.0089,178,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,9,0.0038443477272130963,0.00435,87,20000
randomized-instability-frontier-v2,rho_0000_seed_012,0.0,12,10,0.000996270472039504,0.0011,22,20000
randomized-instability-frontier-v2,rho_0000_seed_013,0.0,13,0,0.49900000000000166,0.4994,9988,20000
randomized-instability-frontier-v2,rho_0000_seed_013,0.0,13,1,0.1657148289466804,0.1649,3298,20000
randomized-instability-frontier-v2,rho_0000_seed_013,0.0,13,2,0.10766397850894104,0.10555,2111,20000
